"","X.log10P","log2FC","feature","SigDiff","norm"
"lardur.141",203.001660783981,0.72357234703616,"lardur.141","UP",203.002950318452
"lardur.144",196.598412625711,0.70756449054058,"lardur.144","UP",196.599685896131
"lardur.146",220.116803299489,1.00227142710678,"lardur.146","UP",220.119085139838
"smldur.149",49.2663981879881,0.588680187923364,"smldur.149","UP",49.2699151083199
"lardur.149",226.725842150736,1.00199918087081,"lardur.149","UP",226.72805627297
"inadur.155",46.6681185830143,0.697965514424028,"inadur.155","UP",46.6733376558567
"smldur.155",51.28254658997,0.61480120607492,"smldur.155","UP",51.2862317320685
"lardur.159",233.124071015077,1.18632534348042,"lardur.159","UP",233.127089490825
"lardur.160",183.06257098957,0.601148732964404,"lardur.160","UP",183.063558025923
"smldur.162",66.8866995708038,0.793748174710672,"smldur.162","UP",66.8914091318147
"lardur.163",243.459670525209,1.36575562187099,"lardur.163","UP",243.463501290567
"lardur.166",216.855222803613,0.866206467313543,"lardur.166","UP",216.8569527842
"smldur.167",64.5912020637398,0.603542910917478,"smldur.167","UP",64.5940217673755
"smldur.172",72.146549885621,0.916859866903054,"smldur.172","UP",72.1523755146976
"lardur.172",212.437205682065,0.775709128526413,"lardur.172","UP",212.438621918559
"smldur.174",66.7317421134719,0.69085358704292,"smldur.174","UP",66.7353181170034
"lardur.175",205.347500028603,0.662646193375264,"lardur.175","UP",205.348569189012
"smldur.176",49.3324687888015,0.662518599214432,"smldur.176","UP",49.3369172901224
"lardur.176",200.690630591803,0.653857078583181,"lardur.176","UP",200.691695733567
"lardur.177",231.475011561901,0.645817103326519,"lardur.177","UP",231.475912477547
"lardur.178",248.232844133918,1.19251093418173,"lardur.178","UP",248.235708529498
"smldur.179",62.3089989253353,0.709868493838102,"smldur.179","UP",62.3130424578673
"lardur.179",227.494002617544,1.11925499957743,"lardur.179","UP",227.496755930069
"lardur.180",232.3838587976,0.768013579984059,"lardur.180","UP",232.385127911667
"lardur.182",206.430896314068,0.627529699797339,"lardur.182","UP",206.431850126267
"smldur.183",47.7575877597081,0.61036708944517,"smldur.183","UP",47.7614880066576
"lardur.185",226.592769915558,0.907166538192386,"lardur.185","UP",226.594585833671
"lardur.196",200.425153374282,0.711171252007979,"lardur.196","UP",200.426415099543
"lardur.200",217.714764271519,0.749483946015963,"lardur.200","UP",217.716054318437
"lardur.202",222.458420756053,0.666219266505346,"lardur.202","UP",222.459418351726
"lardur.203",217.349468324872,0.76801357998406,"lardur.203","UP",217.350825224943
"lardur.204",221.09058799148,0.733921850503128,"lardur.204","UP",221.091806134242
"lardur.206",250.757316622205,1.21532411011225,"lardur.206","UP",250.760261708791
"lardur.211",194.565339867212,0.623654110419243,"lardur.211","UP",194.566339386064
"lardur.213",237.130078376261,0.78686154713908,"lardur.213","UP",237.131383882071
"lardur.215",202.02740428858,0.601148732964404,"lardur.215","UP",202.028298669717
"lardur.219",201.540228050022,0.601148732964405,"lardur.219","UP",201.541124593106
